0|1|2|3|4|5|6|7|8|9|10|11|12
8|Лёгкий вес|Крис Грюцмахер (Chris Gruetzemacher)||14-4 MMA, 2-3 UFC|1 пораж.|vs.|Рафа Гарсия (Rafa García)||12-1 MMA, 0-1 UFC|1 пораж.|[16][17]|
9|Полулёгкий вес|Дэнни Чавес (Danny Chavez)||11-4 MMA, 1-1 UFC|1 пораж.|vs.|Каи Камака (Kai Kamaka III)||8-4 MMA, 1-2 UFC|2 пораж.|[18]|
10|Жен. минимальный вес|Джин Ю Фрей (Jinh Yu Frey)||10-6 MMA, 1-2 UFC|1 победа|vs.|Эшли Йодер (Ashley Yoder)||8-7 MMA, 3-6 UFC|1 пораж.|[19][20]|
|Легчайший вес|Ронни Лоуренс (Ronnie Lawrence)▼||7-1 MMA, 1-0 UFC|4 победы|vs.|Тревин Джонс (Trevin Jones)||13-6 (1) MMA, 1-0 (1) UFC|3 победы|[21]|Лоуренс получил медицинское отстранение
12|Наилегчайший вес|Райан Бенуа (Ryan Benoit) ▲||10-7 MMA, 3-5 UFC|2 пораж.|vs.|Заррух Адашев (Zarrukh Adashev)||3-3 MMA, 0-2 UFC|2 пораж.|[22]|
13|Полусредний вес|Филип Роу (Philip Rowe)||7-3 MMA, 0-1 UFC|1 пораж.|vs.|Орион Косси (Orion Cosce)|д|7-0 MMA, 0-0 UFC|7 побед|[23][24]|
||Отменённые бои|Отменённые бои|Отменённые бои|Отменённые бои|Отменённые бои|Отменённые бои|Отменённые бои|Отменённые бои|Отменённые бои|Отменённые бои|
|Жен. минимальный вес|Джин Ю Фрей (Jinh Yu Frey)||10-6 MMA, 1-2 UFC|1 победа|vs.|Истела Нунис (Istela Nunes)▼|д|7-1 MMA, 0-0 UFC|1 победа|[25]|Нунис снялась из-за проблем с визой, замена бойца
|Наилегчайший вес|Хуанкамильо Рондерос (Juancamilo Ronderos)▼||4-1 MMA, 0-1 UFC|1 пораж.|vs.|Заррух Адашев (Zarrukh Adashev)||3-3 MMA, 0-2 UFC|2 пораж.|[26][27]|Рондерос снялся с боя
|Наилегчайший вес|Аскар Аскаров (Askar Askarov)▼|#2|14-0-1 MMA, 3-0-1 UFC|3 победы|vs.|Алекс Перес (Alex Perez)|#4|24-6 MMA, 6-2 UFC|1 пораж.|[28][29]|Аскаров снялся из-за травмы
|Полулёгкий вес|Чхве Ту Хо (Doo Ho Choi)▼||14-4 MMA, 3-3 UFC|3 пораж.|vs.|Дэнни Чавес (Danny Chavez)||11-4 MMA, 1-1 UFC|1 пораж.|[30][31]|
|Легчайший вес|Джон Кастаньеда (John Castañeda)▼||18-5 MMA, 1-1 UFC|1 победа|vs.|Ронни Лоуренс (Ronnie Lawrence)||7-1 MMA, 1-0 UFC|4 победы|[32]|
|Тяжёлый вес|Шамиль Абдурахимов (Shamil Abdurakhimov)▼|#7|20-5 MMA, 5-3 UFC|1 пораж.|vs.|Крис Докос (Chris Daukaus)|#10|11-3 MMA, 3-0 UFC|4 победы|[33]|Абдурахимов снялся с боя [34]
|Средний вес|Сэм Алви (Sam Alvey)||33-15-1 (1) MMA, 10-10-1 UFC|1 пораж.|vs.|Роман Копылов (Roman Kopylov)▼||8-1 MMA, 0-1 UFC|1 пораж.|[35]|Копылов снялся из-за визовых проблем [36]
|Полусредний вес|Никлас Штольце (Niklas Stolze)||12-4 MMA, 0-1 UFC|1 пораж.|vs.|Мунир Лаззез (Mounir Lazzez)▼||10-2 MMA, 1-1 UFC|1 пораж.|[37][38]|Лаззез снялся из-за визовых проблем [9]
