Название|Автор(ы) песни|Год|Альбом|.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}Ист.
«Плохой» (при участии Ivanov’а)|Артём Иванов|2019|Sold Out|[12]
«Под лёд»|Светлана Лобода, Евгений Дубовик|2013|без альбома|[31]
«Пора домой»|Андрей Осадчук|2015|без альбома|[5]
«Последний герой»|Кирилл Павлов|2019|без альбома|[32]
«Постой, мущина!»|Светлана Лобода|2006|«Постой, мущина!»|[33]
«Потому, что люблю»|Светлана Лобода, Иван Розин|2005|«Ты не забудешь»|[1]
«Пуля-дура»|Артём Иванов, Анатолий Алексеев|2019|без альбома|[34]
«Революция»|Паша Сетрова, Юлия Осина-Фридман|2010|без альбома|[35]
«Родной»|Дмитрий Лорен|2021|без альбома|[36]
«Сердце бьётся» (совместно с Максом Барских)|Светлана Лобода, Макс Барских|2010|без альбома|[37]
«Синие волны»|Артём Иванов, Евгений Бардаченко, Томаш Лукач|2019|Sold Out|[12]
«Сказочный дом»|Артём Иванов, Анатолий Алексеев|2019|Sold Out|[12]
«Случайная»|Кирилл Павлов|2017|H2LO|[38]
«Смотришь в небо» (совместно с Emin’ом)|Андрей Осадчук, Светлана Лобода|2014|«Начистоту»|[39]
«Спасибо»|Светлана Лобода, Георгий Денисенко|2011|без альбома|[40]
«Стерва»|Игорь Майский|2017|H2LO|[17]
«Счастье»|Светлана Лобода|2008|«Не ма4о»|[2]
«Там, за облаками»|Светлана Лобода|2005|«Ты не забудешь»|[1]
«Танцую волосами»|Никита Киселёв|2017|H2LO|[17]
«Танцы с волками»|Кирилл Павлов|2020|Superstar Show Live|[15]
«Твои глаза»|Игорь Майский, Светлана Лобода, Рита Дакота|2016|H2LO|[41]
«Текила-любовь»|Константин Меладзе|2017|H2LO|[42]
«Тох ашхаре имана» (совместно с Татой Симоняном)|Тата Симонян|2009|«Ереван-Киев Транзит»|[43]
«Ты не забудешь»|Светлана Лобода|2005|«Ты не забудешь»|[1]
«Убей меня»|Рита Дакота, Руслан Квинта|2017|H2LO|[17]
«Хиросима»|Артём Иванов, Анатолий Алексеев|2019|Sold Out|[12]
«Чёрно-белая зима»|Тарас Демчук|2004|«Ты не забудешь»|[1]
«Чёрный ангел»|Светлана Лобода|2005|«Ты не забудешь»|[1]
«Чуть-чуть»|Ислам Рахимжанов, Владимир Круто|2017|H2LO|[17]
«Я влюбилась»|Светлана Лобода|2008|«Не ма4о»|[2]
«Я забуду тебя»|Тарас Демчук|2005|«Ты не забудешь»|[1]
«Я тебя не помню»|Светлана Лобода|2008|«Не ма4о»|[2]
«Allo»|Вячеслав Паршин, Фёдор Марфелев, Алина Маркина, Серафима Крестинская, Ульяна Чешенкова|2021|без альбома|[44]
«Be My Valentine (Anti-Crisis Girl)»|Светлана Лобода, Евгений Матюшенко|2009|Anti-Crisis Girl|[3]
«Bon appétit»|Анатолий Алексеев|2019|Sold Out|[12]
«Boom Boom»|Анатолий Алексеев, Вадим Чернышёв, Глеб Голубин|2020|без альбома|[45]
«By Your Side»|DJ Lutique|2008|Anti-Crisis Girl|[3]
«Didn’t Mean»|Светлана Лобода|2005|«Ты не забудешь»|[1]
«How Can I Get You»|Светлана Лобода, Иван Розин|2005|«Ты не забудешь»|[1]
«I Put a Spell on You»|Скримин Джей Хокинс|2020|Superstar Show Live|[15]
«Indie Rock (Vogue)»|Александр Хорошковатый, Юрий Андрийченко|2021|без альбома|[46]
«Instadrama»|Андрей Фролов|2018|без альбома|[47]
«Moloko»|Яна Дрюпина|2020|без альбома|[48]
«Superstar»|Артём Иванов|2018|без альбома|[49]
«What About U»|Светлана Лобода|2012|без альбома|[50]
