Ник|Настоящее имя|Страна|Команда|Дисциплина|Карьера
Garimto|Ким Донсу|Республика Корея||StarCraft: Brood War|2000—2008
ReminD|Ким Сун Сик|Республика Корея||Warcraft III|2004 — н. в.
Bisu|Ким Тхэк Ён|Республика Корея||StarCraft: Brood War, StarCraft II|2005—2014
GGPlay|Ким Чунён|Республика Корея||StarCraft: Brood War|2003—2008
Happy|Дмитрий Костин|Россия||Warcraft III, StarCraft II|2006 — н. в.
Ciara|Рене Краг|Дания||Warcraft III|2004—2016
HeatoN|Эмиль Кристенсен|Швеция||Counter-Strike|2000—2007
NEO|Филип Кубский|Польша||Counter-Strike|2002 — н. в.
NS|Ярослав Кузнецов|Россия||DotA, Dota 2|2005—2013 2014 — н. в.
RAMZES666|Роман Кушнарёв|Россия|Natus Vincere|Dota 2|2013 — н. в.
av3k|Мацей Кшиковский|Польша||Quake: III, 4, Live, Champions|2006—2012 2017 — н. в
HuK|Крис Ларанжер|Канада||StarCraft II|2010—2018
Jaedong|Ли Дже Дон|Республика Корея||StarCraft: Brood War, Wings of Liberty, Heart of the Swarm|2006—2016
fOru|Ли Джэ Хун|Республика Корея||StarCraft: Brood War|2001—2010
Flash|Ли Ён Хо|Республика Корея||StarCraft: Brood War, StarCraft II|2007 — н. в.
Like|Ли Кэцзин|Китай||Warcraft III|2006—2010
Sky|Ли Сяофэн|Китай||Warcraft III|2002—2015
Red_NaDa|Ли Юн Ёль|Республика Корея||StarCraft: Brood War, StarCraft II|2002—2012
SlayerS_`BoxeR|Лим Йохван|Республика Корея||StarCraft: Brood War, StarCraft II|2001—2013
f0rest|Патрик Линдберг|Швеция|Dignitas|Counter-Strike, Counter-Strike: Global Offensive|2005 — н. в.
Fly100%|Лу Вэйлян|Китай||Warcraft III|2006—2020
sAviOr|Ма Джэ Юн|Республика Корея||StarCraft: Brood War|2005—2013
Inspirer|Максим Мазеин|Россия||World of Tanks|2012—2018
Likkrit|Кирилл Малофеев|Россия||League of Legends|2014—2017
markeloff|Егор Маркелов|Украина||Counter-Strike, Counter-Strike: Global Offensive|2004—2018
clawz|Никита Марчинский|Белоруссия||Quake: Live, Champions, Apex Legends|2017 — н. в.
ToD|Йоан Мерло|Франция||Warcraft III|2002—2009
elemeNt|Ола Моум|Норвегия||Counter-Strike|2002—2011
Lucifer|Но Джэук|Республика Корея||Warcraft III|2006 — н. в.
Kingdom|Пак Ён Ук|Республика Корея||StarCraft: Brood War|2001—2008
JulyZerg|Пак Сон Чжун|Республика Корея||StarCraft: Brood War, StarCraft II|2006—2012
Mind|Пак Сонгюн|Республика Корея||StarCraft: Brood War|2006—2013
ForGG|Пак Чису|Республика Корея||StarCraft: Brood War, StarCraft II|2006—2015
Reach|Пак Чон Сок|Республика Корея||StarCraft: Brood War|2001—2012
Lyn|Пак Чун|Республика Корея||Warcraft III, StarCraft II|2004 — н. в.
Luxury|Пак Чхан Су|Республика Корея||StarCraft: Brood War|2004—2010
LeBwa|Дмитрий Палащенко|Россия||World of Tanks|2010 — н. в.
k1llsen|Марцел Пауль|Германия|BIG|Quake: III, 4, Live, Champions|2007 — н. в.
gla1ve|Лукас Россандер|Дания|Astralis|Counter-Strike: Global Offensive|2012 — н. в.
daimonde|Кевин Сантнер|Германия||FIFA|
xPeke|Энрике Мартинес|Испания|||
Cooller|Антон Синьгов|Россия||Quake: III, 4, Live, Champions Overwatch, Apex Legends|2005 — н. в
Sozya|Павел Созинов|Россия|SMARACIS Esports|Rocket League|2016 — н. в.
XlorD|Даниэль Спенст|Германия||Warcraft III|2005—2010
Dosia|Михаил Столяров|Россия||Counter-Strike, Counter-Strike: Global Offensive|
suhO|Су Хао|Китай||Warcraft III|
Grubby|Манюэл Схенкхёйзен|Нидерланды||Warcraft III, StarCraft II, Heroes of the Storm|2007 — н. в.
Polosatiy|Роман Тарасенко|Россия||Quake: II, III, Live, Champions, CPMA|
ceh9|Арсений Триноженко|Украина||Counter-Strike, Counter-Strike: Global Offensive|2005—2013
Creolophus|Олаф Ундхейм|Норвегия||Warcraft III|
Bruce|Игорь Уткин|Россия||StarCraft: Brood War, StarCraft II|2003—2009
Jibo|Фань Чжибо|Китай||Quake: III, 4, Live|2002—2010
Ufenok77|Роберт Фахретдинов|Россия||FIFA|2012 — н. в.
Alex Ich|Михаил Феденко|Россия||League of Legends|
yAwS|Марк Фёрстер|Германия||Warcraft III|
Thresh|Деннис Фонг|США|||
[NC]...YellOw|Хон Джин Хо|Республика Корея||StarCraft: Brood War|
TH000|Хуан Сян|Китай||Warcraft III|
Moon|Чан Джэ Хо|Республика Корея||Warcraft III|
TeD|Чжо Цзэн|Китай||Warcraft III|
HasuObs|Деннис Шнайдер|Германия||Warcraft III, StarCraft II, Heroes of the Storm|
Dayruin|Борис Щербаков|Россия||League of Legends|2013 — н. в.
ZywOo|Матье Эрбо|Франция|Team Vitality|Counter-Strike: Global Offensive|2017 — н. в.
Fifflaren|Робин Йоханссон|Швеция|Dignitas|Counter-Strike: Source, Counter-Strike: Global Offensive|
MaDFroG|Фредрик Юханссон|Швеция||Warcraft III, StarCraft II|
cYpheR|Алексей Янушевский|Белоруссия||Quake: 2, III, 4, Live, Champions, Apex Legends|
Bly|Александр Свисюк|Украина||WarCraft IIIStarCraft II: Wings of Liberty StarCraft II: Heart of the Swarm StarCraft II: Legacy of the Void|2008 — н. в.
Bugha|Кайл Гирсдорф|США|Sentinels|Fortnite|2018 — н. в.
ByuN|Пён Хён У|Республика Корея||StarCraft II: Wings of Liberty, Legacy of the Void|2010—2019
Clem|Клеман Деспланш|Франция|Team Liquid|StarCraft II: Heart of the Swarm, Legacy of the Void|2013 — н. в.
Dark|Пак Риюнг У|Республика Корея|Dragon Phoenix Gaming|StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2012 — н. в.
Dear|Бек Дон Джун|Республика Корея||StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2012 — н. в.
DIMAGA|Дмитрий Филипчук|Украина|Harbingers|StarCraft: Brood War, StarCraft II: Wings of Liberty|2006 — н. в.
DongRaeGu|Пак Су Хо|Республика Корея||StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2010—2016 2019 — н. в.
Faker|Ли Сан Хёк|Республика Корея||League of Legends|2013 — н. в.
FruitDealer|Ким Вон Ги|Республика Корея||StarCraft: Brood War, StarCraft II: Wings of Liberty|
INnoVation|Ли Син Хён|Республика Корея||StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2008 — н. в.
Kas|Михаил Гайда|Украина||Warcraft III, StarCraft II|2007 — н. в.
Life|Ли Сын Хён|Республика Корея||StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2011—2016
Liooon|Ли Сяомэн|Китай||Hearthstone|
MarineKing|Ли Чан Хун|Республика Корея||StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void, League of Legends|2009—2016
Maru|Чо Сон Чу|Республика Корея||StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|
MC|Чан Мин Чхоль|Республика Корея||StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2009—2016
Miracle-|Амер аль-Баркави|Польша  Иордания|Nigma|Dota 2|2015 — н. в.
MMA|Мун Сон Вон|Республика Корея||StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2008—2015 2017—2018
Mvp|Чон Йонг Хён|Республика Корея||StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm|2008—2014
N0tail|Йохан Сундштайн|Дания|OG|Dota 2, Heroes of Newerth|2012 — н. в.
Neeb|Алекс Сандерхафт|США||StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|
PartinG|Вон Ли Сак|Республика Корея|Player 1|StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2010 — н. в.
Polt|Чхве Сон Хун|Республика Корея||Warcraft III: The Frozen Throne, StarCraft II: Wings of Liberty Heart of the Swarm, Legacy of the Void, Teamfight Tactics|2010—2016 2020
Reynor|Риккардо Ромити|Италия||StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|
Rogue|Ли Бён Рёль|Республика Корея||StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2010 — н. в.
Scarlett|Саша Хостин|Канада|Shopify Rebellion|StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void, Dota 2|2011 — н. в.
Serral|Йоона Сотал|Финляндия|ENCE|StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2012 — н. в.
Somedieyoung|Виктор Оруджев|Украина|Team Spirit|Counter-Strike: Global Offensive|2017 — н. в.
soO|О Юн Су|Республика Корея|Afreeca Freecs|StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2008 — н. в.
sOs|Ким Ю Джин|Республика Корея||StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|
Stats|Ким Дэ Ёп|Республика Корея|Afreeca Freecs|StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2009 — н. в.
TY|Чон Тхэ Ян|Республика Корея|TSGaming|StarCraft: Brood War, StarCraft II: Wings of Liberty, Heart of the Swarm, Legacy of the Void|2006 — н. в.
White-Ra|Алексей Крупник|Украина||StarCraft, StarCraft II|2003—2015
xQc|Феликс Лянжель|Канада||Overwatch|
(orky)Soul|Иван Демидов|Россия||StarCraft, Age of Empires, WarCraft 3|
|Николас Плотт|США||StarCraft|
|Бертран Гроспелье|Франция||StarCraft|
Artosis|Дэниел Стемкоски|США||StarCraft|
Kefir|Сергей Никифоров|Россия||FIFA|2008 — н. в.
Mongraal|Кайл Джексон|Великобритания||Fortnite|
Dilvish|Дмитрий Смит|Россия||Warcraft 2, StarCraft|
Kimble|Ким Дотком|Финляндия  Германия|||
