Русское название|Латинское название (именительный падеж)|Латинское название (родительный падеж)|Сокра-щение|Площадь (кв. градусы)|Число звёзд ярче 6,0m[8]|Кем описано
Центавр (Кентавр)|Centáurus|Centáuri|Cen|1060|150|Птолемей
Цефей|Cephéus|Cephéi|Cep|588|60|Птолемей
Циркуль|Círcinus|Círcini|Cir|93|20|Лакайль
Часы|Horológium|Horológii|Hor|249|20|Лакайль
Чаша|Cráter|Cratéris|Crt|282|20|Птолемей
Щит|Scútum|Scúti|Sct|109|20|Гевелий
Эридан|Erídanus|Erídani|Eri|1138|100|Птолемей
Южная Гидра|Hýdrus|Hýdri|Hyi|243|20|Байер
Южная Корона|Coróna Austrális|Corónae Austrális|CrA|128|25|Птолемей
Южная Рыба|Píscis Austrínus|Píscis Austríni|PsA|245|25|Птолемей
Южный Крест|Crux|Crúcis|Cru|68|30|Планциус
Южный Треугольник|Triángulum Austrále|Triánguli Austrális|TrA|110|20|Байер
Ящерица|Lacérta|Lacértae|Lac|201|35|Гевелий
