table_id;column_id;label_id;label
1_astronomy_table;1;73;название
1_astronomy_table;2;73;название
1_astronomy_table;3;61;лейбл
1_astronomy_table;4;92;площадь
1_astronomy_table;5;52;количество
1_astronomy_table;6;88;персона
2_astronomy_table;0;73;название
2_astronomy_table;1;117;расстояние
3_astronomy_table;0;141;страна
3_astronomy_table;1;115;ракета
3_astronomy_table;2;26;дата
3_astronomy_table;3;101;примечание
4_astronomy_table;0;115;ракета
4_astronomy_table;1;26;дата
4_astronomy_table;2;117;расстояние
1_measurements_table;0;130;состояние
1_measurements_table;1;137;статистика
1_measurements_table;2;137;статистика
1_measurements_table;3;137;статистика
2_measurements_table;0;9;база
2_measurements_table;1;26;дата
2_measurements_table;2;137;статистика
2_measurements_table;3;137;статистика
3_measurements_table;0;130;состояние
3_measurements_table;1;137;статистика
3_measurements_table;2;66;место
3_measurements_table;3;26;дата
4_measurements_table;0;16;вещество
4_measurements_table;1;15;вес
4_measurements_table;2;87;период
4_measurements_table;3;149;тип
4_measurements_table;4;47;класс
5_measurements_table;0;130;состояние
5_measurements_table;1;137;статистика
6_measurements_table;0;130;состояние
6_measurements_table;1;
6_measurements_table;2;137;статистика
6_measurements_table;3;101;примечание
1_history_table;0;22;год
1_history_table;1;127;событие
2_history_table;0;116;ранг
2_history_table;1;52;количество
2_history_table;2;52;количество
3_history_table;0;141;страна
3_history_table;1;52;количество
3_history_table;2;97;порядок
4_history_table;0;88;персона
4_history_table;1;116;ранг
4_history_table;2;87;период
5_history_table;0;88;персона
5_history_table;1;116;ранг
5_history_table;2;87;период
6_history_table;0;141;страна
6_history_table;1;
6_history_table;2;88;персона
6_history_table;3;26;дата
6_history_table;4;26;дата
7_history_table;0;149;тип
7_history_table;1;73;название
7_history_table;2;133;ссылка
7_history_table;3;52;количество
7_history_table;4;88;персона
8_history_table;0;149;тип
8_history_table;1;73;название
8_history_table;2;
8_history_table;3;52;количество
8_history_table;4;88;персона
9_history_table;0;88;персона
9_history_table;1;88;персона
9_history_table;2;133;ссылка
9_history_table;3;
1_cinema_table;0;145;театр
1_cinema_table;1;110;пьеса
1_cinema_table;2;88;персона
1_cinema_table;3;89;персонаж
1_cinema_table;4;149;тип
2_cinema_table;0;22;год
2_cinema_table;1;47;класс
2_cinema_table;2;159;фильм
2_cinema_table;3;89;персонаж
3_cinema_table;0;22;год
3_cinema_table;1;47;класс
3_cinema_table;2;159;фильм
3_cinema_table;3;89;персонаж
4_cinema_table;0;22;год
4_cinema_table;1;47;класс
4_cinema_table;2;159;фильм
4_cinema_table;3;89;персонаж
5_cinema_table;0;22;год
5_cinema_table;1;47;класс
5_cinema_table;2;159;фильм
5_cinema_table;3;159;фильм
5_cinema_table;4;89;персонаж
6_cinema_table;0;3;актер
6_cinema_table;1;89;персонаж
8_cinema_table;0;39;идентификатор
8_cinema_table;1;159;фильм
8_cinema_table;2;26;дата
8_cinema_table;3;26;дата
8_cinema_table;4;88;персона
8_cinema_table;5;144;сценарист
8_cinema_table;6;144;сценарист
8_cinema_table;7;106;продюсер
8_cinema_table;8;88;персона
9_cinema_table;0;159;фильм
9_cinema_table;1;116;ранг
9_cinema_table;2;116;ранг
9_cinema_table;3;116;ранг
9_cinema_table;4;116;ранг
9_cinema_table;5;116;ранг
10_cinema_table;0;159;фильм
10_cinema_table;1;52;количество
10_cinema_table;2;52;количество
10_cinema_table;3;52;количество
10_cinema_table;4;52;количество
10_cinema_table;5;133;ссылка
11_cinema_table;0;52;количество
11_cinema_table;1;159;фильм
12_cinema_table;0;22;год
12_cinema_table;1;47;класс
12_cinema_table;2;159;фильм
12_cinema_table;3;159;фильм
12_cinema_table;4;89;персонаж
13_cinema_table;0;97;порядок
13_cinema_table;1;159;фильм
13_cinema_table;2;26;дата
13_cinema_table;3;80;описание
15_cinema_table;0;22;год
15_cinema_table;1;47;класс
15_cinema_table;2;159;фильм
15_cinema_table;3;159;фильм
15_cinema_table;4;89;персонаж
16_cinema_table;0;87;период
16_cinema_table;1;145;театр
16_cinema_table;2;110;пьеса
16_cinema_table;3;110;пьеса
16_cinema_table;4;128;создатель
16_cinema_table;5;88;персона
16_cinema_table;6;89;персонаж
17_cinema_table;0;97;порядок
17_cinema_table;1;159;фильм
17_cinema_table;2;26;дата
18_cinema_table;0;159;фильм
18_cinema_table;1;22;год
18_cinema_table;2;80;описание
1_film_awards_table;0;22;год
1_film_awards_table;1;99;премия
1_film_awards_table;2;46;категория
1_film_awards_table;3;89;персонаж
1_film_awards_table;4;118;результат
2_film_awards_table;0;99;премия
2_film_awards_table;1;22;год
2_film_awards_table;2;159;фильм
2_film_awards_table;3;46;категория
2_film_awards_table;4;118;результат
4_film_awards_table;0;22;год
4_film_awards_table;1;159;фильм
4_film_awards_table;2;99;премия
4_film_awards_table;3;46;категория
4_film_awards_table;4;118;результат
4_film_awards_table;5;133;ссылка
6_film_awards_table;0;22;год
6_film_awards_table;1;99;премия
6_film_awards_table;2;46;категория
6_film_awards_table;3;159;фильм
6_film_awards_table;4;118;результат
7_film_awards_table;0;22;год
7_film_awards_table;1;99;премия
7_film_awards_table;2;46;категория
7_film_awards_table;3;159;фильм
7_film_awards_table;4;118;результат
8_film_awards_table;0;22;год
8_film_awards_table;1;99;премия
8_film_awards_table;2;118;результат
8_film_awards_table;3;46;категория
8_film_awards_table;4;159;фильм
9_film_awards_table;0;99;премия
9_film_awards_table;1;22;год
9_film_awards_table;2;46;категория
9_film_awards_table;3;159;фильм
9_film_awards_table;4;118;результат
11_film_awards_table;0;22;год
11_film_awards_table;1;99;премия
11_film_awards_table;2;46;категория
11_film_awards_table;3;159;фильм
11_film_awards_table;4;118;результат
11_film_awards_table;5;133;ссылка
1_computer_games_table;0;22;год
1_computer_games_table;1;38;игра
1_computer_games_table;2;89;персонаж
1_computer_games_table;3;101;примечание
2_computer_games_table;0;38;игра
2_computer_games_table;1;108;производитель
2_computer_games_table;2;26;дата
2_computer_games_table;3;103;программа
3_computer_games_table;0;61;лейбл
3_computer_games_table;1;132;спортсмен
3_computer_games_table;2;141;страна
3_computer_games_table;3;54;команда
3_computer_games_table;4;38;игра
3_computer_games_table;5;87;период
1_locations_table;0;24;город
1_locations_table;1;74;население
2_locations_table;0;76;область
2_locations_table;1;92;площадь
2_locations_table;2;52;количество
2_locations_table;3;52;количество
2_locations_table;4;52;количество
2_locations_table;5;52;количество
3_locations_table;0;97;порядок
3_locations_table;1;24;город
3_locations_table;2;92;площадь
3_locations_table;3;74;население
4_locations_table;0;39;идентификатор
4_locations_table;1;
4_locations_table;2;76;область
4_locations_table;3;140;столица
4_locations_table;4;114;район
4_locations_table;5;92;площадь
4_locations_table;6;74;население
4_locations_table;7;52;количество
4_locations_table;8;
5_locations_table;0;39;идентификатор
5_locations_table;1;24;город
5_locations_table;2;76;область
5_locations_table;3;74;население
6_locations_table;0;24;город
6_locations_table;1;74;население
7_locations_table;0;114;район
7_locations_table;1;74;население
7_locations_table;2;92;площадь
7_locations_table;3;52;количество
9_locations_table;0;141;страна
9_locations_table;1;74;население
9_locations_table;2;52;количество
10_locations_table;0;39;идентификатор
10_locations_table;1;141;страна
10_locations_table;2;15;вес
10_locations_table;3;52;количество
11_locations_table;0;114;район
11_locations_table;1;22;год
11_locations_table;2;92;площадь
11_locations_table;3;74;население
12_locations_table;0;39;идентификатор
12_locations_table;1;76;область
12_locations_table;2;149;тип
12_locations_table;3;140;столица
12_locations_table;4;74;население
12_locations_table;5;92;площадь
13_locations_table;0;39;идентификатор
13_locations_table;1;102;провинция
13_locations_table;2;140;столица
13_locations_table;3;74;население
13_locations_table;4;66;место
13_locations_table;5;92;площадь
13_locations_table;6;66;место
13_locations_table;7;52;количество
13_locations_table;8;66;место
14_locations_table;0;76;область
14_locations_table;1;140;столица
15_locations_table;0;102;провинция
15_locations_table;1;92;площадь
15_locations_table;2;74;население
15_locations_table;3;52;количество
15_locations_table;4;52;количество
16_locations_table;0;39;идентификатор
16_locations_table;1;24;город
16_locations_table;2;100;префектура
16_locations_table;3;74;население
17_locations_table;0;24;город
17_locations_table;1;74;население
17_locations_table;2;67;местонахождение
18_locations_table;0;39;идентификатор
18_locations_table;1;39;идентификатор
18_locations_table;2;76;область
18_locations_table;3;76;область
18_locations_table;4;52;количество
18_locations_table;5;140;столица
18_locations_table;6;92;площадь
18_locations_table;7;74;население
18_locations_table;8;52;количество
18_locations_table;9;
19_locations_table;0;39;идентификатор
19_locations_table;1;82;остров
19_locations_table;2;149;тип
19_locations_table;3;92;площадь
19_locations_table;4;92;площадь
19_locations_table;5;74;население
19_locations_table;6;67;местонахождение
20_locations_table;0;39;идентификатор
20_locations_table;1;76;область
20_locations_table;2;140;столица
20_locations_table;3;92;площадь
20_locations_table;4;74;население
20_locations_table;5;52;количество
21_locations_table;0;82;остров
21_locations_table;1;67;местонахождение
22_locations_table;0;39;идентификатор
22_locations_table;1;76;область
22_locations_table;2;76;область
22_locations_table;3;
22_locations_table;4;
22_locations_table;5;52;количество
22_locations_table;6;52;количество
22_locations_table;7;140;столица
22_locations_table;8;137;статистика
22_locations_table;9;
22_locations_table;10;
23_locations_table;0;24;город
23_locations_table;1;137;статистика
23_locations_table;2;137;статистика
24_locations_table;0;39;идентификатор
24_locations_table;1;24;город
24_locations_table;2;76;область
24_locations_table;3;74;население
25_locations_table;0;39;идентификатор
25_locations_table;1;82;остров
25_locations_table;2;92;площадь
25_locations_table;3;74;население
26_locations_table;0;24;город
26_locations_table;1;74;население
26_locations_table;2;76;область
27_locations_table;0;24;город
27_locations_table;1;24;город
27_locations_table;2;24;город
27_locations_table;3;24;город
28_locations_table;0;39;идентификатор
28_locations_table;1;71;муниципалитет
28_locations_table;2;71;муниципалитет
28_locations_table;3;24;город
28_locations_table;4;74;население
29_locations_table;0;82;остров
29_locations_table;1;67;местонахождение
29_locations_table;2;80;описание
30_locations_table;0;39;идентификатор
30_locations_table;1;114;район
30_locations_table;2;114;район
30_locations_table;3;74;население
30_locations_table;4;92;площадь
30_locations_table;5;52;количество
31_locations_table;0;57;континент
31_locations_table;1;92;площадь
31_locations_table;2;137;статистика
31_locations_table;3;74;население
31_locations_table;4;137;статистика
31_locations_table;5;
32_locations_table;0;141;страна
32_locations_table;1;22;год
32_locations_table;2;141;страна
33_locations_table;0;141;страна
33_locations_table;1;52;количество
34_locations_table;0;39;идентификатор
34_locations_table;1;141;страна
34_locations_table;2;24;город
1_media_table;0;94;позиция
1_media_table;1;136;станция
2_media_table;0;94;позиция
2_media_table;1;45;канал
2_media_table;2;17;владелец
3_media_table;0;94;позиция
3_media_table;1;136;станция
3_media_table;2;17;владелец
4_media_table;0;94;позиция
4_media_table;1;45;канал
4_media_table;2;17;владелец
5_media_table;0;94;позиция
5_media_table;1;136;станция
5_media_table;2;
5_media_table;3;94;позиция
5_media_table;4;136;станция
1_music_table;0;34;журнал
1_music_table;1;137;статистика
2_music_table;0;81;организация
2_music_table;1;94;позиция
4_music_table;0;90;песня
4_music_table;1;128;создатель
4_music_table;2;22;год
4_music_table;3;4;альбом
4_music_table;4;133;ссылка
7_music_table;0;97;порядок
7_music_table;1;152;трек
7_music_table;2;104;продолжительность
8_music_table;0;141;страна
8_music_table;1;26;дата
8_music_table;2;162;формат
8_music_table;3;61;лейбл
8_music_table;4;133;ссылка
9_music_table;0;22;год
9_music_table;1;125;сингл
9_music_table;2;4;альбом
9_music_table;3;101;примечание
1_awards_table;0;22;год
1_awards_table;1;127;событие
1_awards_table;2;72;награда
2_awards_table;0;141;страна
2_awards_table;1;26;дата
2_awards_table;2;72;награда
2_awards_table;3;124;символ
3_awards_table;0;141;страна
3_awards_table;1;26;дата
3_awards_table;2;72;награда
3_awards_table;3;124;символ
1_nationalities_table;0;75;национальность
1_nationalities_table;1;137;статистика
1_nationalities_table;2;137;статистика
2_nationalities_table;0;75;национальность
2_nationalities_table;1;74;население
2_nationalities_table;2;137;статистика
3_nationalities_table;0;75;национальность
3_nationalities_table;1;
3_nationalities_table;2;137;статистика
4_nationalities_table;0;75;национальность
4_nationalities_table;1;74;население
4_nationalities_table;2;137;статистика
1_organizations_table;0;81;организация
1_organizations_table;1;81;организация
1_organizations_table;2;81;организация
1_organizations_table;3;81;организация
1_organizations_table;4;22;год
1_organizations_table;5;87;период
1_organizations_table;6;
2_organizations_table;0;81;организация
2_organizations_table;1;81;организация
2_organizations_table;2;81;организация
2_organizations_table;3;81;организация
2_organizations_table;4;87;период
2_organizations_table;5;87;период
3_organizations_table;0;81;организация
3_organizations_table;1;161;флаг
3_organizations_table;2;161;флаг
3_organizations_table;3;161;флаг
3_organizations_table;4;161;флаг
3_organizations_table;5;161;флаг
3_organizations_table;6;161;флаг
3_organizations_table;7;161;флаг
3_organizations_table;8;161;флаг
3_organizations_table;9;161;флаг
3_organizations_table;10;161;флаг
3_organizations_table;11;161;флаг
3_organizations_table;12;161;флаг
3_organizations_table;13;161;флаг
3_organizations_table;14;161;флаг
3_organizations_table;15;161;флаг
4_organizations_table;0;81;организация
4_organizations_table;1;130;состояние
4_organizations_table;2;94;позиция
5_organizations_table;0;130;состояние
5_organizations_table;1;94;позиция
5_organizations_table;2;137;статистика
5_organizations_table;3;22;год
5_organizations_table;4;81;организация
1_books_table;0;121;роман
1_books_table;1;22;год
1_books_table;2;34;журнал
1_books_table;3;50;книга
2_books_table;0;52;количество
2_books_table;1;50;книга
2_books_table;2;50;книга
2_books_table;3;50;книга
2_books_table;4;26;дата
3_books_table;0;128;создатель
3_books_table;1;121;роман
3_books_table;2;80;описание
4_books_table;0;50;книга
4_books_table;1;41;издатель
4_books_table;2;50;книга
4_books_table;3;88;персона
4_books_table;4;22;год
4_books_table;5;101;примечание
5_books_table;0;94;позиция
5_books_table;1;121;роман
5_books_table;2;128;создатель
5_books_table;3;
6_books_table;0;94;позиция
6_books_table;1;50;книга
6_books_table;2;128;создатель
7_books_table;0;128;создатель
7_books_table;1;121;роман
7_books_table;2;22;год
7_books_table;3;80;описание
1_politics_table;0;
1_politics_table;1;85;партия
1_politics_table;2;52;количество
1_politics_table;3;137;статистика
1_politics_table;4;66;место
1_politics_table;5;137;статистика
2_politics_table;0;85;партия
2_politics_table;1;52;количество
3_politics_table;0;88;персона
3_politics_table;1;85;партия
3_politics_table;2;137;статистика
3_politics_table;3;52;количество
4_politics_table;0;
4_politics_table;1;85;партия
4_politics_table;2;52;количество
4_politics_table;3;137;статистика
4_politics_table;4;137;статистика
4_politics_table;5;66;место
4_politics_table;6;137;статистика
6_politics_table;0;39;идентификатор
6_politics_table;1;88;персона
6_politics_table;2;
6_politics_table;3;26;дата
6_politics_table;4;26;дата
6_politics_table;5;85;партия
6_politics_table;6;101;примечание
7_politics_table;0;85;партия
7_politics_table;1;52;количество
7_politics_table;2;137;статистика
7_politics_table;3;66;место
7_politics_table;4;137;статистика
8_politics_table;0;85;партия
8_politics_table;1;52;количество
8_politics_table;2;137;статистика
9_politics_table;0;85;партия
9_politics_table;1;85;партия
9_politics_table;2;40;идеология
9_politics_table;3;88;персона
9_politics_table;4;52;количество
9_politics_table;5;22;год
10_politics_table;0;
10_politics_table;1;85;партия
10_politics_table;2;52;количество
10_politics_table;3;52;количество
11_politics_table;0;85;партия
11_politics_table;1;137;статистика
11_politics_table;2;52;количество
12_politics_table;0;85;партия
12_politics_table;1;52;количество
13_politics_table;0;
13_politics_table;1;85;партия
13_politics_table;2;22;год
13_politics_table;3;88;персона
13_politics_table;4;40;идеология
13_politics_table;5;124;символ
13_politics_table;6;52;количество
13_politics_table;7;52;количество
14_politics_table;0;85;партия
14_politics_table;1;52;количество
15_politics_table;0;116;ранг
15_politics_table;1;111;работа
15_politics_table;2;88;персона
16_politics_table;0;39;идентификатор
16_politics_table;1;
16_politics_table;2;88;персона
16_politics_table;3;26;дата
16_politics_table;4;26;дата
16_politics_table;5;85;партия
1_events_table;0;26;дата
1_events_table;1;127;событие
1_events_table;2;127;событие
1_events_table;3;101;примечание
2_events_table;0;26;дата
2_events_table;1;127;событие
2_events_table;2;127;событие
3_events_table;0;26;дата
3_events_table;1;127;событие
4_events_table;0;127;событие
4_events_table;1;26;дата
5_events_table;0;26;дата
5_events_table;1;127;событие
5_events_table;2;127;событие
5_events_table;3;149;тип
5_events_table;4;101;примечание
6_events_table;0;26;дата
6_events_table;1;127;событие
6_events_table;2;127;событие
6_events_table;3;101;примечание
1_natural_table;0;119;река
1_natural_table;1;113;размер
1_natural_table;2;92;площадь
2_natural_table;0;66;место
2_natural_table;1;92;площадь
2_natural_table;2;19;высота
2_natural_table;3;21;глубина
3_natural_table;0;119;река
3_natural_table;1;147;территория
3_natural_table;2;113;размер
4_natural_table;0;39;идентификатор
4_natural_table;1;119;река
4_natural_table;2;113;размер
4_natural_table;3;92;площадь
4_natural_table;4;137;статистика
4_natural_table;5;137;статистика
4_natural_table;6;137;статистика
5_natural_table;0;39;идентификатор
5_natural_table;1;119;река
5_natural_table;2;66;место
5_natural_table;3;113;размер
5_natural_table;4;113;размер
6_natural_table;0;39;идентификатор
6_natural_table;1;66;место
6_natural_table;2;92;площадь
6_natural_table;3;113;размер
1_food_table;0;105;продукт
1_food_table;1;15;вес
1_food_table;2;15;вес
1_food_table;3;84;отношение
2_food_table;0;105;продукт
2_food_table;1;15;вес
2_food_table;2;15;вес
2_food_table;3;84;отношение
3_food_table;0;105;продукт
3_food_table;1;15;вес
4_food_table;0;105;продукт
4_food_table;1;15;вес
4_food_table;2;15;вес
4_food_table;3;84;отношение
1_religion_table;0;22;год
1_religion_table;1;88;персона
1_religion_table;2;80;описание
2_religion_table;0;30;документ
2_religion_table;1;101;примечание
2_religion_table;2;80;описание
3_religion_table;0;120;религия
3_religion_table;1;52;количество
4_religion_table;0;120;религия
4_religion_table;1;52;количество
4_religion_table;2;137;статистика
1_wrestling_table;0;39;идентификатор
1_wrestling_table;1;12;борец
1_wrestling_table;2;
1_wrestling_table;3;26;дата
1_wrestling_table;4;52;количество
1_wrestling_table;5;24;город
1_wrestling_table;6;154;турнир
1_wrestling_table;7;101;примечание
2_wrestling_table;0;39;идентификатор
2_wrestling_table;1;12;борец
2_wrestling_table;2;52;количество
2_wrestling_table;3;52;количество
3_wrestling_table;0;138;статус
3_wrestling_table;1;87;период
1_sports_table;0;39;идентификатор
1_sports_table;1;26;дата
1_sports_table;2;24;город
1_sports_table;3;141;страна
1_sports_table;4;118;результат
1_sports_table;5;52;количество
1_sports_table;6;154;турнир
2_sports_table;0;49;клуб
2_sports_table;1;63;лига
2_sports_table;2;26;дата
2_sports_table;3;52;количество
2_sports_table;4;52;количество
2_sports_table;5;52;количество
2_sports_table;6;52;количество
2_sports_table;7;52;количество
2_sports_table;8;52;количество
2_sports_table;9;52;количество
2_sports_table;10;52;количество
2_sports_table;11;52;количество
2_sports_table;12;52;количество
4_sports_table;0;39;идентификатор
4_sports_table;1;26;дата
4_sports_table;2;67;местонахождение
4_sports_table;3;141;страна
4_sports_table;4;118;результат
4_sports_table;5;118;результат
4_sports_table;6;154;турнир
7_sports_table;0;15;вес
7_sports_table;1;7;атлет
7_sports_table;2;7;атлет
7_sports_table;3;7;атлет
8_sports_table;0;22;год
8_sports_table;1;154;турнир
8_sports_table;2;24;город
8_sports_table;3;15;вес
8_sports_table;4;118;результат
8_sports_table;5;
9_sports_table;0;49;клуб
9_sports_table;1;24;город
9_sports_table;2;134;стадион
10_sports_table;0;97;порядок
10_sports_table;1;46;категория
10_sports_table;2;12;борец
10_sports_table;3;94;позиция
10_sports_table;4;137;статистика
10_sports_table;5;118;результат
10_sports_table;6;
10_sports_table;7;12;борец
10_sports_table;8;94;позиция
10_sports_table;9;137;статистика
10_sports_table;10;118;результат
10_sports_table;11;133;ссылка
10_sports_table;12;101;примечание
11_sports_table;0;94;позиция
11_sports_table;1;12;борец
11_sports_table;2;118;результат
11_sports_table;3;94;позиция
11_sports_table;4;12;борец
11_sports_table;5;
11_sports_table;6;94;позиция
11_sports_table;7;12;борец
11_sports_table;8;118;результат
11_sports_table;9;94;позиция
11_sports_table;10;12;борец
11_sports_table;11;
11_sports_table;12;94;позиция
11_sports_table;13;12;борец
11_sports_table;14;
11_sports_table;15;94;позиция
11_sports_table;16;12;борец
11_sports_table;17;
12_sports_table;0;22;год
12_sports_table;1;154;турнир
12_sports_table;2;24;город
12_sports_table;3;15;вес
12_sports_table;4;118;результат
12_sports_table;5;94;позиция
13_sports_table;0;49;клуб
13_sports_table;1;24;город
13_sports_table;2;134;стадион
14_sports_table;0;22;год
14_sports_table;1;154;турнир
14_sports_table;2;24;город
14_sports_table;3;15;вес
14_sports_table;4;118;результат
14_sports_table;5;
15_sports_table;0;22;год
15_sports_table;1;154;турнир
15_sports_table;2;24;город
15_sports_table;3;15;вес
15_sports_table;4;118;результат
15_sports_table;5;94;позиция
16_sports_table;0;22;год
16_sports_table;1;146;теннисист
16_sports_table;2;146;теннисист
16_sports_table;3;118;результат
16_sports_table;4;
17_sports_table;0;22;год
17_sports_table;1;146;теннисист
17_sports_table;2;146;теннисист
17_sports_table;3;118;результат
17_sports_table;4;
18_sports_table;0;118;результат
18_sports_table;1;118;результат
18_sports_table;2;12;борец
18_sports_table;3;48;классификация
18_sports_table;4;97;порядок
18_sports_table;5;104;продолжительность
18_sports_table;6;154;турнир
18_sports_table;7;26;дата
18_sports_table;8;24;город
19_sports_table;0;22;год
19_sports_table;1;24;город
19_sports_table;2;154;турнир
19_sports_table;3;118;результат
19_sports_table;4;118;результат
19_sports_table;5;118;результат
19_sports_table;6;118;результат
19_sports_table;7;94;позиция
20_sports_table;0;49;клуб
20_sports_table;1;24;город
21_sports_table;0;54;команда
21_sports_table;1;24;город
22_sports_table;0;26;дата
22_sports_table;1;154;турнир
22_sports_table;2;46;категория
22_sports_table;3;49;клуб
22_sports_table;4;118;результат
22_sports_table;5;118;результат
22_sports_table;6;118;результат
23_sports_table;0;149;тип
23_sports_table;1;163;футболист
23_sports_table;2;49;клуб
24_sports_table;0;39;идентификатор
24_sports_table;1;26;дата
24_sports_table;2;134;стадион
24_sports_table;3;141;страна
24_sports_table;4;118;результат
24_sports_table;5;118;результат
24_sports_table;6;154;турнир
25_sports_table;0;39;идентификатор
25_sports_table;1;163;футболист
25_sports_table;2;
25_sports_table;3;149;тип
25_sports_table;4;26;дата
25_sports_table;5;113;размер
25_sports_table;6;15;вес
25_sports_table;7;52;количество
25_sports_table;8;26;дата
26_sports_table;0;111;работа
26_sports_table;1;153;тренер
26_sports_table;2;
26_sports_table;3;26;дата
26_sports_table;4;22;год
27_sports_table;0;39;идентификатор
27_sports_table;1;167;шахматист
27_sports_table;2;141;страна
27_sports_table;3;94;позиция
27_sports_table;4;137;статистика
27_sports_table;5;137;статистика
27_sports_table;6;137;статистика
27_sports_table;7;137;статистика
27_sports_table;8;137;статистика
27_sports_table;9;137;статистика
27_sports_table;10;137;статистика
27_sports_table;11;137;статистика
27_sports_table;12;137;статистика
27_sports_table;13;137;статистика
27_sports_table;14;137;статистика
27_sports_table;15;137;статистика
27_sports_table;16;118;результат
28_sports_table;0;39;идентификатор
28_sports_table;1;167;шахматист
28_sports_table;2;
28_sports_table;3;167;шахматист
28_sports_table;4;118;результат
28_sports_table;5;
28_sports_table;6;118;результат
28_sports_table;7;137;статистика
28_sports_table;8;137;статистика
28_sports_table;9;137;статистика
28_sports_table;10;22;год
28_sports_table;11;24;город
29_sports_table;0;49;клуб
29_sports_table;1;131;спорт
29_sports_table;2;22;год
29_sports_table;3;63;лига
29_sports_table;4;134;стадион
4_tv_hows_table;0;39;идентификатор
4_tv_hows_table;1;26;дата
4_tv_hows_table;2;103;программа
4_tv_hows_table;3;103;программа
4_tv_hows_table;4;88;персона
4_tv_hows_table;5;104;продолжительность
4_tv_hows_table;6;52;количество
1_finance_table;0;141;страна
1_finance_table;1;52;количество
1_finance_table;2;52;количество
1_finance_table;3;118;результат
6_finance_table;0;39;идентификатор
6_finance_table;1;126;служба
