Место|Государство(или зависимая территория)|1 июля 2012Оценка ООН|%населения|Среднийотносительныйгодовойприрост(%, ООН)[69]|Среднийабсолютныйгодовойприрост(ООН)[70]|Периодожидаемогоудвоения(лет,ООН)[71]|Данныеальтерн. источников|Дата|Источник
23.0|Шри-Ланка|21224000|0.5|0.85|180000|82|20653000|1 июля 2010|Official estimate (англ.)www.statistics.gov.lk. Дата обращения: 8 марта 2021.
24.0|Сирия|21118000|0.5|1.70|359000|41|26 427 000|сентябрь 15, 2021|Official population clock (англ.)archive.wikiwix.com. Дата обращения: 8 марта 2021.
25.0|Казахстан|17 244 420|0.43|1.07|175000|65|17 300 560|1 январь 2014|Monthly official estimate (англ.)(недоступная ссылка). Архивировано 17 января 2014 года.
26.0|Камбоджа|14478000|0.34|1.21|175000|58|13395682|3 марта 2008|Census result (англ.)www.nis.gov.kh. Дата обращения: 8 марта 2021.
27.0|Азербайджан|10073200|0.22|1.24|117000|56|9111100|1 января 2011|Official estimate (англ.)www.azstat.org. Дата обращения: 8 марта 2021.
28.0|ОАЭ|8106000|0.19|2.72|220000|26|8264070|2010|Official estimate (англ.)(недоступная ссылка). Архивировано 8 октября 2013 года.
29.0|Израиль|7695000|0.18|1.76|135000|40|7848800|31 января 2012|Monthly official estimate (англ.)(недоступная ссылка). Архивировано 19 марта 2012 года.
30.0|Гонконг (КНР)[72]|7196000|0.17|1.04|75000|67|7108100|1 июля 2011|Official estimate (англ.)(недоступная ссылка). Архивировано 9 июня 2007 года.
31.0|Таджикистан|7079000|0.17|1.46|103000|48|7616000|1 января 2011|Official estimate (англ.)(недоступная ссылка). Архивировано 6 марта 2012 года.
32.0|Иордания|6457000|0.15|2.01|130000|35|7 568 100|сентябрь 15, 2021|Official population clock (англ.)(недоступная ссылка). Архивировано 17 января 2012 года.
33.0|Лаос|6374000|0.15|1.37|87000|51|6465800|2012|Official estimate (англ.)(недоступная ссылка). Архивировано 17 мая 2012 года.
34.0|Киргизия|5448000|0.13|1.02|56000|68|5477600|2011|Official estimate (англ.)(недоступная ссылка). Архивировано 10 мая 2011 года.
35.0|Сингапур|5256000|0.12|1.31|69000|53|5183700|30 июня 2011|Official estimate (англ.)(недоступная ссылка). Архивировано 18 ноября 2008 года.
36.0|Туркмения|5170000|0.12|1.27|66000|55|7966724|2012|World Gazetteer projection (англ.)(недоступная ссылка). Архивировано 5 января 2013 года.
37.0|Грузия|4304000|0.1|−0.58|−25,000|-|4469200|1 января 2011|Official estimate (англ.)www.geostat.ge. Дата обращения: 8 марта 2021.
38.0|Ливан|4292000|0.1|0.77|33000|90|3759100|2007|Official estimate (англ.)(недоступная ссылка). Архивировано 7 мая 2012 года.
39.0|Государство Палестина[73]|4271000|0.1|2.87|123000|24|4293309|1 июля 2012|Official estimate (англ.)(недоступная ссылка). Архивировано 14 ноября 2011 года.
40.0|Армения|3109000|0.07|0.29|9000|239|3268500|2011|Official estimate (англ.)www.armstat.am. Дата обращения: 8 марта 2021.
41.0|Оман|2904000|0.07|2.04|59000|34|2773479|12 декабря 2010|Census result (англ.)www.moneoman.gov.om. Дата обращения: 8 марта 2021.
42.0|Кувейт|2892000|0.07|2.63|76000|27|3582054|31 декабря 2010|Official estimate (нем.)www.citypopulation.de. Дата обращения: 8 марта 2021.
43.0|Монголия|2844000|0.07|1.57|45000|44|2736800|2009|Official estimate (англ.)(недоступная ссылка). Архивировано 1 апреля 2012 года.
44.0|Катар|1939000|0.05|3.69|72000|19|1699435|21 апреля 2010|Census result (англ.)(недоступная ссылка). Дата обращения: 25 марта 2012. Архивировано 22 ноября 2010 года.
45.0|Бахрейн|1359000|0.03|2.64|36000|27|1234571|27 апреля 2010|Census result (англ.)(недоступная ссылка). Архивировано 2 мая 2013 года.
46.0|Восточный Тимор|1187000|0.03|2.86|34000|25|1066409|11 июля 2010|Census result (англ.)(недоступная ссылка). Архивировано 16 августа 2012 года.
47.0|Кипр|1129000|0.03|1.07|12000|65|838897|1 октября 2011|Census result (англ.)www.mof.gov.cy. Дата обращения: 8 марта 2021.
48.0|Бутан|750000|0.02|1.63|12000|43|720679|2012|Official estimate (англ.)(недоступная ссылка). Архивировано 13 ноября 2010 года.
49.0|Макао (КНР)[74]|567000|0.01|1.98|11000|35|560100|July-September 2011|Official estimate (англ.)www.dsec.gov.mo. Дата обращения: 8 марта 2021.
50.0|Бруней|413000|0.01|1.72|7000|41|422700|2011|Official estimate (англ.)(недоступная ссылка). Архивировано 25 апреля 2012 года.
51.0|Мальдивы|324000|0.01|1.25|4000|56|317280|2010|Official estimate (англ.)(недоступная ссылка). Архивировано 31 марта 2012 года.
|Всего|4227067000|100.0|1.02|43528000|68|||
