№|Название|Дата премьеры|Unnamed: 3
7|Капли дождя и радуги«Raindrops and Rainbows / Ame ga Kuru Niji ga Tatsu» (雨がくる虹がたつ)|4 декабря 2005 года [4]|
Гинко встречает человека, у которого есть странная привычка преследовать радугу. Как и его отец, этот человек стремится понять радугу и запечатлеть ее.|Гинко встречает человека, у которого есть странная привычка преследовать радугу. Как и его отец, этот человек стремится понять радугу и запечатлеть ее.|Гинко встречает человека, у которого есть странная привычка преследовать радугу. Как и его отец, этот человек стремится понять радугу и запечатлеть ее.|Гинко встречает человека, у которого есть странная привычка преследовать радугу. Как и его отец, этот человек стремится понять радугу и запечатлеть ее.
8|Где-то за морем«Where Beyond the Sea / Unasaka yori» (海境より)|11 декабря 2005 года [4]|
Путешествуя вдоль берега, Гинко встречает мужчину, надеящегося найти свою жену, которая пропала в море.|Путешествуя вдоль берега, Гинко встречает мужчину, надеящегося найти свою жену, которая пропала в море.|Путешествуя вдоль берега, Гинко встречает мужчину, надеящегося найти свою жену, которая пропала в море.|Путешествуя вдоль берега, Гинко встречает мужчину, надеящегося найти свою жену, которая пропала в море.
9|Тяжёлое семя«Heavy Fruit / Omoi Mi» (重い実)|18 декабря 2005 года [4]|
Гинко прибывает в деревню, где бывают необычные урожаи, всегда происходящие после стихийных бедствий и всегда приводящие к гибели одного из жителей.|Гинко прибывает в деревню, где бывают необычные урожаи, всегда происходящие после стихийных бедствий и всегда приводящие к гибели одного из жителей.|Гинко прибывает в деревню, где бывают необычные урожаи, всегда происходящие после стихийных бедствий и всегда приводящие к гибели одного из жителей.|Гинко прибывает в деревню, где бывают необычные урожаи, всегда происходящие после стихийных бедствий и всегда приводящие к гибели одного из жителей.
10|Белизна в чернильном камне«The Whiteness in the Ink Stone / Suzuri ni Sumu Shiro» (硯に棲む白)|8 января 2006 года [4]|
Несколько детей попадает в беду, когда соприкасаются с одним предметом из коллекции доктора Адасино. В этом предмете живут муси. Гинко должен найти создателя предмета, чтобы решить эту проблему.|Несколько детей попадает в беду, когда соприкасаются с одним предметом из коллекции доктора Адасино. В этом предмете живут муси. Гинко должен найти создателя предмета, чтобы решить эту проблему.|Несколько детей попадает в беду, когда соприкасаются с одним предметом из коллекции доктора Адасино. В этом предмете живут муси. Гинко должен найти создателя предмета, чтобы решить эту проблему.|Несколько детей попадает в беду, когда соприкасаются с одним предметом из коллекции доктора Адасино. В этом предмете живут муси. Гинко должен найти создателя предмета, чтобы решить эту проблему.
11|Спящий в горах«To Sleep in the Mountains / Yama Nemuru» (やまねむる)|8 января 2006 года [4]|
Во время своих путешествий Гинко встречает старого знатока муси, который рассказывает ему историю о том, как он стал хранителем горы, где он живёт, и почему он не может уехать оттуда до конца своей жизни. Гинко понимает, что судьба этого человека обречена.|Во время своих путешествий Гинко встречает старого знатока муси, который рассказывает ему историю о том, как он стал хранителем горы, где он живёт, и почему он не может уехать оттуда до конца своей жизни. Гинко понимает, что судьба этого человека обречена.|Во время своих путешествий Гинко встречает старого знатока муси, который рассказывает ему историю о том, как он стал хранителем горы, где он живёт, и почему он не может уехать оттуда до конца своей жизни. Гинко понимает, что судьба этого человека обречена.|Во время своих путешествий Гинко встречает старого знатока муси, который рассказывает ему историю о том, как он стал хранителем горы, где он живёт, и почему он не может уехать оттуда до конца своей жизни. Гинко понимает, что судьба этого человека обречена.
12|Одноглазая рыба«One-Eyed Fish / Sugame no Uo» (眇の魚)|15 января 2006 года [4]|
Нуи, седовласая женщина - знаток муси, усыновляет сироту. Происхождение Гинкго раскрыто.|Нуи, седовласая женщина - знаток муси, усыновляет сироту. Происхождение Гинкго раскрыто.|Нуи, седовласая женщина - знаток муси, усыновляет сироту. Происхождение Гинкго раскрыто.|Нуи, седовласая женщина - знаток муси, усыновляет сироту. Происхождение Гинкго раскрыто.
13|Мост на одну ночь«The One-Night Bridge / Hitoyobashi» (一夜橋)|22 января 2006 года [4]|
Гинко приезжает в деревню, где живёт девочка, упавшая с моста три года назад. Хотя она, по-видимому, пережила падение, но теперь уже не та, кем была раньше, к отчаянию молодого человека, который любит ее.|Гинко приезжает в деревню, где живёт девочка, упавшая с моста три года назад. Хотя она, по-видимому, пережила падение, но теперь уже не та, кем была раньше, к отчаянию молодого человека, который любит ее.|Гинко приезжает в деревню, где живёт девочка, упавшая с моста три года назад. Хотя она, по-видимому, пережила падение, но теперь уже не та, кем была раньше, к отчаянию молодого человека, который любит ее.|Гинко приезжает в деревню, где живёт девочка, упавшая с моста три года назад. Хотя она, по-видимому, пережила падение, но теперь уже не та, кем была раньше, к отчаянию молодого человека, который любит ее.
14|В клетке«Inside the Cage / Kago no Naka» (籠のなか)|29 января 2006 года [4]|
Путешествуя по бамбуковому лесу, Гинко встречает человека, который почему-то не может покинуть лес, как бы он ни старался. Любопытно, что его жена и ребёнок разделяют ту же проблему.|Путешествуя по бамбуковому лесу, Гинко встречает человека, который почему-то не может покинуть лес, как бы он ни старался. Любопытно, что его жена и ребёнок разделяют ту же проблему.|Путешествуя по бамбуковому лесу, Гинко встречает человека, который почему-то не может покинуть лес, как бы он ни старался. Любопытно, что его жена и ребёнок разделяют ту же проблему.|Путешествуя по бамбуковому лесу, Гинко встречает человека, который почему-то не может покинуть лес, как бы он ни старался. Любопытно, что его жена и ребёнок разделяют ту же проблему.
15|Имитирующая весну«Pretense of Spring / Haru to Usobuku» (春と嘯く)|5 февраля 2006 года [4]|
Гинко останавливается на зиму в одной хижине . Мальчик, который там живёт, утверждает, что есть место, где весна наступает очень рано, и каждый раз, когда он туда приходит, он спит целыми днями... или до конца весны.|Гинко останавливается на зиму в одной хижине . Мальчик, который там живёт, утверждает, что есть место, где весна наступает очень рано, и каждый раз, когда он туда приходит, он спит целыми днями... или до конца весны.|Гинко останавливается на зиму в одной хижине . Мальчик, который там живёт, утверждает, что есть место, где весна наступает очень рано, и каждый раз, когда он туда приходит, он спит целыми днями... или до конца весны.|Гинко останавливается на зиму в одной хижине . Мальчик, который там живёт, утверждает, что есть место, где весна наступает очень рано, и каждый раз, когда он туда приходит, он спит целыми днями... или до конца весны.
16|Рассветная змея«Dawn Snake / Akatsuki no Hebi» (暁の蛇)|12 февраля 2006 года [4]|
Гинко помогает мальчику, который беспокоится о своей матери, потому что она мало-помалу забывает свои воспоминания.|Гинко помогает мальчику, который беспокоится о своей матери, потому что она мало-помалу забывает свои воспоминания.|Гинко помогает мальчику, который беспокоится о своей матери, потому что она мало-помалу забывает свои воспоминания.|Гинко помогает мальчику, который беспокоится о своей матери, потому что она мало-помалу забывает свои воспоминания.
17|Сборщица пустых коконов«Picking Empty Cocoons / Uromayutori» (虚繭取り)|19 февраля 2006 года [4]|
Гинко беспокоится о девушке, которая делает коконы, используемые знатоками муси в качестве почтовых ящиков, так как она все ещё ищет свою сестру, которая исчезла, когда они были детьми.|Гинко беспокоится о девушке, которая делает коконы, используемые знатоками муси в качестве почтовых ящиков, так как она все ещё ищет свою сестру, которая исчезла, когда они были детьми.|Гинко беспокоится о девушке, которая делает коконы, используемые знатоками муси в качестве почтовых ящиков, так как она все ещё ищет свою сестру, которая исчезла, когда они были детьми.|Гинко беспокоится о девушке, которая делает коконы, используемые знатоками муси в качестве почтовых ящиков, так как она все ещё ищет свою сестру, которая исчезла, когда они были детьми.
18|Жакет, несущий гору«The Mountain Bearing Robe / Yama Daku Koromo» (山抱く衣)|26 февраля 2006 года [4]|
Гинко получает в свои руки хаори, которым, по-видимому, овладели муси. Надеясь выяснить правду, он начинает искать первого владельца хаори.|Гинко получает в свои руки хаори, которым, по-видимому, овладели муси. Надеясь выяснить правду, он начинает искать первого владельца хаори.|Гинко получает в свои руки хаори, которым, по-видимому, овладели муси. Надеясь выяснить правду, он начинает искать первого владельца хаори.|Гинко получает в свои руки хаори, которым, по-видимому, овладели муси. Надеясь выяснить правду, он начинает искать первого владельца хаори.
19|Нить с небес«A String in the Sky / Tenpen no Ito» (天辺の糸)|5 марта 2006 года [4]|
Гинко помогает девушке, которая пропала без вести с тех пор, как схватилась за верёвку, которую видела свисающей с неба. Только сила убеждения мужчины, который её любит, удерживает её на земле.|Гинко помогает девушке, которая пропала без вести с тех пор, как схватилась за верёвку, которую видела свисающей с неба. Только сила убеждения мужчины, который её любит, удерживает её на земле.|Гинко помогает девушке, которая пропала без вести с тех пор, как схватилась за верёвку, которую видела свисающей с неба. Только сила убеждения мужчины, который её любит, удерживает её на земле.|Гинко помогает девушке, которая пропала без вести с тех пор, как схватилась за верёвку, которую видела свисающей с неба. Только сила убеждения мужчины, который её любит, удерживает её на земле.
20|Море чернил«A Sea of Ink / Fude no Umi» (筆の海)|12 марта 2006 года [4]|
Гинко приходит в дом, в котором есть библиотека, полная свитков, связанных с муси. Там он встречает девушку, которая пишет свитки, и слышит историю о проклятии, которое поражало её семью на протяжении многих поколений.|Гинко приходит в дом, в котором есть библиотека, полная свитков, связанных с муси. Там он встречает девушку, которая пишет свитки, и слышит историю о проклятии, которое поражало её семью на протяжении многих поколений.|Гинко приходит в дом, в котором есть библиотека, полная свитков, связанных с муси. Там он встречает девушку, которая пишет свитки, и слышит историю о проклятии, которое поражало её семью на протяжении многих поколений.|Гинко приходит в дом, в котором есть библиотека, полная свитков, связанных с муси. Там он встречает девушку, которая пишет свитки, и слышит историю о проклятии, которое поражало её семью на протяжении многих поколений.
21|Хлопковые споры«Cotton Spores / Watabōshi» (綿胞子)|15 мая 2006 года [4]|
Гинко вызвали, чтобы посмотреть на ребёнка, у которого по телу пробегала зелёная волна. Он быстро понимает, что ребёнок и его четверо братьев - не люди.|Гинко вызвали, чтобы посмотреть на ребёнка, у которого по телу пробегала зелёная волна. Он быстро понимает, что ребёнок и его четверо братьев - не люди.|Гинко вызвали, чтобы посмотреть на ребёнка, у которого по телу пробегала зелёная волна. Он быстро понимает, что ребёнок и его четверо братьев - не люди.|Гинко вызвали, чтобы посмотреть на ребёнка, у которого по телу пробегала зелёная волна. Он быстро понимает, что ребёнок и его четверо братьев - не люди.
22|Морское святилище«The Sea Shrine / Okitsu Miya» (沖つ宮)|22 мая 2006 года [4]|
Гинко исследует деревню со святыней, которая, по слухам, даёт людям другую жизнь.|Гинко исследует деревню со святыней, которая, по слухам, даёт людям другую жизнь.|Гинко исследует деревню со святыней, которая, по слухам, даёт людям другую жизнь.|Гинко исследует деревню со святыней, которая, по слухам, даёт людям другую жизнь.
23|Крик ржавчины«Chorus of Rust / Sabi no Naku Koe» (錆の鳴く聲)|29 мая 2006 года [4]|
Девушка подвергается остракизму в своей деревне, потому что, по слухам, она является причиной странной ржавчины, которая поражает дома и людей вокруг.|Девушка подвергается остракизму в своей деревне, потому что, по слухам, она является причиной странной ржавчины, которая поражает дома и людей вокруг.|Девушка подвергается остракизму в своей деревне, потому что, по слухам, она является причиной странной ржавчины, которая поражает дома и людей вокруг.|Девушка подвергается остракизму в своей деревне, потому что, по слухам, она является причиной странной ржавчины, которая поражает дома и людей вокруг.
24|Путешествие на огненное поле«The Journey to the Field of Fire / Kagarinokō» (篝野行)|5 июня 2006 года [4]|
Пытаясь избавиться от неизвестного вида муси, который угрожает её деревне, местная знаток муси решает сжечь всю гору, возле которой она живёт. Но Гинко не согласен с этой идеей.|Пытаясь избавиться от неизвестного вида муси, который угрожает её деревне, местная знаток муси решает сжечь всю гору, возле которой она живёт. Но Гинко не согласен с этой идеей.|Пытаясь избавиться от неизвестного вида муси, который угрожает её деревне, местная знаток муси решает сжечь всю гору, возле которой она живёт. Но Гинко не согласен с этой идеей.|Пытаясь избавиться от неизвестного вида муси, который угрожает её деревне, местная знаток муси решает сжечь всю гору, возле которой она живёт. Но Гинко не согласен с этой идеей.
25|Приятные зрелища, печальные зрелища«Pleasant Sights, Woeful Sights / Ganpuku Ganka» (眼福眼禍)|12 июня 2006 года [4]|
Гинко встречает женщину, которая была слепа, когда была ребёнком, пока муси не вошли в её глаза и не наделили её способностью предвидения. Хотя её зрение улучшалось день ото дня, она начала видеть больше, чем хотела.|Гинко встречает женщину, которая была слепа, когда была ребёнком, пока муси не вошли в её глаза и не наделили её способностью предвидения. Хотя её зрение улучшалось день ото дня, она начала видеть больше, чем хотела.|Гинко встречает женщину, которая была слепа, когда была ребёнком, пока муси не вошли в её глаза и не наделили её способностью предвидения. Хотя её зрение улучшалось день ото дня, она начала видеть больше, чем хотела.|Гинко встречает женщину, которая была слепа, когда была ребёнком, пока муси не вошли в её глаза и не наделили её способностью предвидения. Хотя её зрение улучшалось день ото дня, она начала видеть больше, чем хотела.
26|Звук шагов по траве«The Sound of Footsteps on the Grass / Kusa o Fumu Oto» (草を踏む音)|19 июня 2006 года [4]|
Когда Гинко был ребёнком, он некоторое время жил с ватари, группой кочевников, которые каждый год посещали таинственную гору. Среди кочевников был ещё один мальчик, Исаза, который дружил с сыном семьи, владеющей горой, и их дружба крепла.|Когда Гинко был ребёнком, он некоторое время жил с ватари, группой кочевников, которые каждый год посещали таинственную гору. Среди кочевников был ещё один мальчик, Исаза, который дружил с сыном семьи, владеющей горой, и их дружба крепла.|Когда Гинко был ребёнком, он некоторое время жил с ватари, группой кочевников, которые каждый год посещали таинственную гору. Среди кочевников был ещё один мальчик, Исаза, который дружил с сыном семьи, владеющей горой, и их дружба крепла.|Когда Гинко был ребёнком, он некоторое время жил с ватари, группой кочевников, которые каждый год посещали таинственную гору. Среди кочевников был ещё один мальчик, Исаза, который дружил с сыном семьи, владеющей горой, и их дружба крепла.
