#|Фильм|Дата релиза|Дата релиза|Режиссёр(ы)|Сценаристы|Сценаристы|Продюсер(ы)|Композитор(ы)
#|Фильм|США|Россия|Режиссёр(ы)|Сюжет|Сценарий|Продюсер(ы)|Композитор(ы)
11|«История игрушек: Большой побег» англ. Toy Story 3|18 июня 2010|17 июня 2010|Ли Анкрич|Джон Лассетер, Эндрю Стэнтон и Ли Анкрич|Майкл Арндт|Дарла К. Андерсон|Рэнди Ньюман
12|«Тачки 2» англ. Cars 2|24 июня 2011|23 июня 2011|Джон Лассетер Сорежиссёр: Брэд Льюис|Джон Лассетер, Брэд Льюис и Дэн Фогельман|Бэн Куин|Дениз Рим|Майкл Джаккино
13|«Храбрая сердцем» англ. Brave|22 июня 2012|21 июня 2012|Марк Эндрюс и Бренда Чапман Сорежиссёр: Стив Пурселл|Бренда Чапман|Марк Эндрюс, Стив Пурселл, Бренда Чапман и Ирен Меччи|Кэтрин Сарафян|Патрик Дойл
14|«Университет монстров» англ. Monsters University|21 июня 2013|20 июня 2013|Дэн Скэнлон|Дэн Скэнлон, Дэн Джерсон и Роберт Л. Бейрд|Дэн Скэнлон, Дэн Джерсон и Роберт Л. Бейрд|Кори Рей|Рэнди Ньюман
15|«Головоломка» англ. Inside Out|19 июня 2015|18 июня 2015|Пит Доктер Сорежиссёр: Роналдо дель Кармен|Пит Доктер и Роналдо дель Кармен|Пит Доктер, Мэг ЛеФов и Джош Кулиey|Йонас Ривера|Майкл Джаккино
16|«Хороший динозавр» англ. The Good Dinosaur|25 ноября 2015|26 ноября 2015|Питер Сон|Питер Сон, Эрик Бенсон, Мэг ЛеФов, Келси Манн и Боб Питерсон|Мэг ЛеФов|Дениз Рим|Майкл и Джефф Данна
17|«В поисках Дори» англ. Finding Dory|17 июня 2016|16 июня 2016|Эндрю Стэнтон Сорежиссёр: Энгус МакЛэйн|Виктория Страус, Эндрю Стэнтон и Боб Питерсон|Эндрю Стэнтон|Линдси Коллинз|Томас Ньюман
18|«Тачки 3» англ. Cars 3|16 июня 2017|15 июня 2017|Брайан Фи|Брайан Фи, Эял Поделл, Бен Квин и Джонатан Э. Стюарт|Кил Мюррэй, Боб Питерсон и Майк Рич|Кевин Реэр|Рэнди Ньюман
19|«Тайна Коко» англ. Coco|22 ноября 2017|23 ноября 2017|Ли Анкрич|Андреан Молина|Ли Анкрич|Дарла К. Андерсон|Майкл Джаккино
20|«Суперсемейка 2» англ. Incredibles 2|15 июня 2018|14 июня 2018|Брэд Бёрд|Брэд Бёрд|Брэд Бёрд|Джон Лассетер|Майкл Джаккино
21|«История игрушек 4» англ. Toy Story 4|21 июня 2019|20 июня 2019|Джон Лассетер Сорежиссёр: Джош Кули|Джон Лассетер, Эндрю Стэнтон, Пит Доктер и Ли Анкрич|Рашида Джонс и Уилл Маккормак|Галин Сасман|Рэнди Ньюман
22|«Вперёд» англ. Onward|6 марта 2020|4 марта 2020|Дэн Скэнлон|Дэн Скэнлон К. С. Андерсон|Дэн Скэнлон К. С. Андерсон|Кори Рэй|Майкл Данна Джефф Данна
23|«Душа» англ. Soul[3]|25 декабря 2020|21 января 2021|Пит Доктер|Пит Доктер, Майк Джонс и Кемп Пауэрс|Пит Доктер, Майк Джонс и Кемп Пауэрс|Дана Мюррей|Трент Резнор и Аттикус Росс
24|«Лука» англ. Luca|18 июня 2021|17 июня 2021|Энрико Касароса|Джесси Эндрюс и Майк Джонс|Джесси Эндрюс и Майк Джонс|Андреа Уоррен|Дэн Ромер
